MONTH,MONTHNUM,STATE,PERIOD,SEASON,CROP,Generic.Name
Sep,9,Tamil Nadu,Harvesting,kharif,mungbean/uradbean,Urad
Oct,10,Tamil Nadu,Harvesting,kharif,mungbean/uradbean,Urad
Jul,7,Uttar Pradesh,Sowing,kharif,mungbean/uradbean,Urad
Aug,8,Uttar Pradesh,Sowing,kharif,mungbean/uradbean,Urad
Sep,9,Uttar Pradesh,Harvesting,kharif,mungbean/uradbean,Urad
Oct,10,Uttar Pradesh,Harvesting,kharif,mungbean/uradbean,Urad
Jul,7,West Bengal,Sowing,kharif,mungbean/uradbean,Urad
Aug,8,West Bengal,Sowing,kharif,mungbean/uradbean,Urad
Sep,9,West Bengal,Harvesting,kharif,mungbean/uradbean,Urad
Oct,10,West Bengal,Harvesting,kharif,mungbean/uradbean,Urad
Jul,7,Himachal Pradesh,Sowing,kharif,mungbean/uradbean,Urad
Aug,8,Himachal Pradesh,Sowing,kharif,mungbean/uradbean,Urad
Sep,9,Himachal Pradesh,Harvesting,kharif,mungbean/uradbean,Urad
Oct,10,Himachal Pradesh,Harvesting,kharif,mungbean/uradbean,Urad
Oct,10,Andhra Pradesh,Sowing,rabi,mungbean/uradbean,Urad
Nov,11,Andhra Pradesh,Sowing,rabi,mungbean/uradbean,Urad
Jan,1,Andhra Pradesh,Harvesting,rabi,mungbean/uradbean,Urad
Feb,2,Andhra Pradesh,Harvesting,rabi,mungbean/uradbean,Urad
Aug,8,Assam,Sowing,rabi,mungbean/uradbean,Urad
Sep,9,Assam,Sowing,rabi,mungbean/uradbean,Urad
Nov,11,Assam,Harvesting,rabi,mungbean/uradbean,Urad
Dec,12,Assam,Harvesting,rabi,mungbean/uradbean,Urad
Oct,10,Karnataka,Sowing,rabi,mungbean/uradbean,Urad
Nov,11,Karnataka,Sowing,rabi,mungbean/uradbean,Urad
Jan,1,Karnataka,Harvesting,rabi,mungbean/uradbean,Urad
Feb,2,Karnataka,Harvesting,rabi,mungbean/uradbean,Urad
Oct,10,Odisha,Sowing,rabi,mungbean/uradbean,Urad
Nov,11,Odisha,Sowing,rabi,mungbean/uradbean,Urad
Jan,1,Odisha,Harvesting,rabi,mungbean/uradbean,Urad
Feb,2,Odisha,Harvesting,rabi,mungbean/uradbean,Urad
Oct,10,Tamil Nadu,Sowing,rabi,mungbean/uradbean,Urad
Nov,11,Tamil Nadu,Sowing,rabi,mungbean/uradbean,Urad
Jan,1,Tamil Nadu,Harvesting,rabi,mungbean/uradbean,Urad
Feb,2,Tamil Nadu,Harvesting,rabi,mungbean/uradbean,Urad
Jan,1,Andhra Pradesh,Sowing,spring/summer mungbean/uradbean,/ mungbean/uradbean,Urad
Feb,2,Andhra Pradesh,Sowing,spring/summer mungbean/uradbean,/ mungbean/uradbean,Urad
Mar,3,Andhra Pradesh,Harvesting,spring/summer mungbean/uradbean,/ mungbean/uradbean,Urad
Apr,4,Andhra Pradesh,Harvesting,spring/summer mungbean/uradbean,/ mungbean/uradbean,Urad
Feb,2,Assam,Sowing,spring/summer mungbean/uradbean,/ mungbean/uradbean,Urad
Mar,3,Assam,Sowing,spring/summer mungbean/uradbean,/ mungbean/uradbean,Urad
May,5,Assam,Harvesting,spring/summer mungbean/uradbean,/ mungbean/uradbean,Urad
Feb,2,Bihar,Sowing,spring/summer mungbean/uradbean,/ mungbean/uradbean,Urad
Mar,3,Bihar,Sowing,spring/summer mungbean/uradbean,/ mungbean/uradbean,Urad
Apr,4,Bihar,Sowing,spring/summer mungbean/uradbean,/ mungbean/uradbean,Urad
May,5,Bihar,Harvesting,spring/summer mungbean/uradbean,/ mungbean/uradbean,Urad
Jun,6,Bihar,Harvesting,spring/summer mungbean/uradbean,/ mungbean/uradbean,Urad
Feb,2,Haryana,Sowing,spring/summer mungbean/uradbean,/ mungbean/uradbean,Urad
Mar,3,Haryana,Sowing,spring/summer mungbean/uradbean,/ mungbean/uradbean,Urad
Apr,4,Haryana,Sowing,spring/summer mungbean/uradbean,/ mungbean/uradbean,Urad
May,5,Haryana,Harvesting,spring/summer mungbean/uradbean,/ mungbean/uradbean,Urad
Jun,6,Haryana,Harvesting,spring/summer mungbean/uradbean,/ mungbean/uradbean,Urad
Feb,2,Jharkhand,Sowing,spring/summer mungbean/uradbean,/ mungbean/uradbean,Urad
Mar,3,Jharkhand,Sowing,spring/summer mungbean/uradbean,/ mungbean/uradbean,Urad
Apr,4,Jharkhand,Sowing,spring/summer mungbean/uradbean,/ mungbean/uradbean,Urad
May,5,Jharkhand,Harvesting,spring/summer mungbean/uradbean,/ mungbean/uradbean,Urad
Jun,6,Jharkhand,Harvesting,spring/summer mungbean/uradbean,/ mungbean/uradbean,Urad
Jan,1,Karnataka,Sowing,spring/summer mungbean/uradbean,/ mungbean/uradbean,Urad
Feb,2,Karnataka,Sowing,spring/summer mungbean/uradbean,/ mungbean/uradbean,Urad
Mar,3,Karnataka,Harvesting,spring/summer mungbean/uradbean,/ mungbean/uradbean,Urad
Apr,4,Karnataka,Harvesting,spring/summer mungbean/uradbean,/ mungbean/uradbean,Urad
Jan,1,Kerala,Sowing,spring/summer mungbean/uradbean,/ mungbean/uradbean,Urad
Feb,2,Kerala,Sowing,spring/summer mungbean/uradbean,/ mungbean/uradbean,Urad
Mar,3,Kerala,Harvesting,spring/summer mungbean/uradbean,/ mungbean/uradbean,Urad
Apr,4,Kerala,Harvesting,spring/summer mungbean/uradbean,/ mungbean/uradbean,Urad
Jan,1,Odisha,Sowing,spring/summer mungbean/uradbean,/ mungbean/uradbean,Urad
Feb,2,Odisha,Sowing,spring/summer mungbean/uradbean,/ mungbean/uradbean,Urad
Mar,3,Odisha,Harvesting,spring/summer mungbean/uradbean,/ mungbean/uradbean,Urad
Apr,4,Odisha,Harvesting,spring/summer mungbean/uradbean,/ mungbean/uradbean,Urad
Feb,2,Punjab,Sowing,spring/summer mungbean/uradbean,/ mungbean/uradbean,Urad
Mar,3,Punjab,Sowing,spring/summer mungbean/uradbean,/ mungbean/uradbean,Urad
May,5,Punjab,Harvesting,spring/summer mungbean/uradbean,/ mungbean/uradbean,Urad
Feb,2,Tripura,Sowing,spring/summer mungbean/uradbean,/ mungbean/uradbean,Urad
Mar,3,Tripura,Sowing,spring/summer mungbean/uradbean,/ mungbean/uradbean,Urad
Apr,4,Tripura,Sowing,spring/summer mungbean/uradbean,/ mungbean/uradbean,Urad
May,5,Tripura,Harvesting,spring/summer mungbean/uradbean,/ mungbean/uradbean,Urad
Jun,6,Tripura,Harvesting,spring/summer mungbean/uradbean,/ mungbean/uradbean,Urad
Feb,2,Tamil Nadu,Sowing,spring/summer mungbean/uradbean,/ mungbean/uradbean,Urad
Mar,3,Tamil Nadu,Sowing,spring/summer mungbean/uradbean,/ mungbean/uradbean,Urad
Apr,4,Tamil Nadu,Sowing,spring/summer mungbean/uradbean,/ mungbean/uradbean,Urad
May,5,Tamil Nadu,Harvesting,spring/summer mungbean/uradbean,/ mungbean/uradbean,Urad
Jun,6,Tamil Nadu,Harvesting,spring/summer mungbean/uradbean,/ mungbean/uradbean,Urad
Feb,2,Uttar Pradesh,Sowing,spring/summer mungbean/uradbean,/ mungbean/uradbean,Urad
Mar,3,Uttar Pradesh,Sowing,spring/summer mungbean/uradbean,/ mungbean/uradbean,Urad
Apr,4,Uttar Pradesh,Sowing,spring/summer mungbean/uradbean,/ mungbean/uradbean,Urad
May,5,Uttar Pradesh,Harvesting,spring/summer mungbean/uradbean,/ mungbean/uradbean,Urad
Jun,6,Uttar Pradesh,Harvesting,spring/summer mungbean/uradbean,/ mungbean/uradbean,Urad
Feb,2,West Bengal,Sowing,spring/summer mungbean/uradbean,/ mungbean/uradbean,Urad
Mar,3,West Bengal,Sowing,spring/summer mungbean/uradbean,/ mungbean/uradbean,Urad
Apr,4,West Bengal,Sowing,spring/summer mungbean/uradbean,/ mungbean/uradbean,Urad
May,5,West Bengal,Harvesting,spring/summer mungbean/uradbean,/ mungbean/uradbean,Urad
Jun,6,West Bengal,Harvesting,spring/summer mungbean/uradbean,/ mungbean/uradbean,Urad
Aug,8,Bihar,Sowing,kharif,horsegram,Horsegram
Oct,10,Bihar,Harvesting,kharif,horsegram,Horsegram
Nov,11,Bihar,Harvesting,kharif,horsegram,Horsegram
Aug,8,Karnataka,Sowing,kharif,horsegram,Horsegram
Oct,10,Karnataka,Harvesting,kharif,horsegram,Horsegram
Nov,11,Karnataka,Harvesting,kharif,horsegram,Horsegram
Aug,8,Madhya Pradesh,Sowing,kharif,horsegram,Horsegram
Oct,10,Madhya Pradesh,Harvesting,kharif,horsegram,Horsegram
Jul,7,Maharashtra,Sowing,kharif,horsegram,Horsegram
Oct,10,Maharashtra,Harvesting,kharif,horsegram,Horsegram
Jul,7,Rajasthan,Sowing,kharif,horsegram,Horsegram
Oct,10,Rajasthan,Harvesting,kharif,horsegram,Horsegram
Oct,10,Tamil Nadu,Sowing,kharif,horsegram,Horsegram
Feb,2,Tamil Nadu,Harvesting,kharif,horsegram,Horsegram
Jun,6,Himachal Pradesh,Sowing,kharif,horsegram,Horsegram
Jul,7,Himachal Pradesh,Sowing,kharif,horsegram,Horsegram
Sep,9,Himachal Pradesh,Harvesting,kharif,horsegram,Horsegram
Oct,10,Himachal Pradesh,Harvesting,kharif,horsegram,Horsegram
Oct,10,Assam,Sowing,rabi,chickpea,Chickpea
Nov,11,Assam,Sowing,rabi,chickpea,Chickpea
Mar,3,Assam,Harvesting,rabi,chickpea,Chickpea
Oct,10,Bihar,Sowing,rabi,chickpea,Chickpea
Nov,11,Bihar,Sowing,rabi,chickpea,Chickpea
Mar,3,Bihar,Harvesting,rabi,chickpea,Chickpea
Oct,10,Chhattisgarh,Sowing,rabi,chickpea,Chickpea
Feb,2,Chhattisgarh,Harvesting,rabi,chickpea,Chickpea
Mar,3,Chhattisgarh,Harvesting,rabi,chickpea,Chickpea
Oct,10,Gujarat,Sowing,rabi,chickpea,Chickpea
Nov,11,Gujarat,Sowing,rabi,chickpea,Chickpea
Feb,2,Gujarat,Harvesting,rabi,chickpea,Chickpea
Mar,3,Gujarat,Harvesting,rabi,chickpea,Chickpea
Oct,10,Haryana,Sowing,rabi,chickpea,Chickpea
Nov,11,Haryana,Sowing,rabi,chickpea,Chickpea
Mar,3,Haryana,Harvesting,rabi,chickpea,Chickpea
Apr,4,Haryana,Harvesting,rabi,chickpea,Chickpea
Sep,9,Karnataka,Sowing,rabi,chickpea,Chickpea
Oct,10,Karnataka,Sowing,rabi,chickpea,Chickpea
Jan,1,Karnataka,Harvesting,rabi,chickpea,Chickpea
Feb,2,Karnataka,Harvesting,rabi,chickpea,Chickpea
Oct,10,Madhya Pradesh,Sowing,rabi,chickpea,Chickpea
Nov,11,Madhya Pradesh,Sowing,rabi,chickpea,Chickpea
Feb,2,Madhya Pradesh,Harvesting,rabi,chickpea,Chickpea
Mar,3,Madhya Pradesh,Harvesting,rabi,chickpea,Chickpea
Sep,9,Maharashtra,Sowing,rabi,chickpea,Chickpea
Oct,10,Maharashtra,Sowing,rabi,chickpea,Chickpea
Feb,2,Maharashtra,Harvesting,rabi,chickpea,Chickpea
Mar,3,Maharashtra,Harvesting,rabi,chickpea,Chickpea
Oct,10,Punjab,Sowing,rabi,chickpea,Chickpea
Nov,11,Punjab,Sowing,rabi,chickpea,Chickpea
Mar,3,Punjab,Harvesting,rabi,chickpea,Chickpea
Apr,4,Punjab,Harvesting,rabi,chickpea,Chickpea
Oct,10,Uttar Pradesh,Sowing,rabi,chickpea,Chickpea
Nov,11,Uttar Pradesh,Sowing,rabi,chickpea,Chickpea
Mar,3,Uttar Pradesh,Harvesting,rabi,chickpea,Chickpea
Apr,4,Uttar Pradesh,Harvesting,rabi,chickpea,Chickpea
Oct,10,West Bengal,Sowing,rabi,chickpea,Chickpea
Nov,11,West Bengal,Sowing,rabi,chickpea,Chickpea
Mar,3,West Bengal,Harvesting,rabi,chickpea,Chickpea
Jun,6,Madhya Pradesh,Sowing,kharif,soya bean,Soybean
Jul,7,Madhya Pradesh,Sowing,kharif,soya bean,Soybean
Sep,9,Madhya Pradesh,Harvesting,kharif,soya bean,Soybean
Oct,10,Madhya Pradesh,Harvesting,kharif,soya bean,Soybean
Jun,6,Maharashtra,Sowing,kharif,soya bean,Soybean
Jul,7,Maharashtra,Sowing,kharif,soya bean,Soybean
Sep,9,Maharashtra,Harvesting,kharif,soya bean,Soybean
Oct,10,Maharashtra,Harvesting,kharif,soya bean,Soybean
Jun,6,Rajasthan,Sowing,kharif,soya bean,Soybean
Jul,7,Rajasthan,Sowing,kharif,soya bean,Soybean
Sep,9,Rajasthan,Harvesting,kharif,soya bean,Soybean
Oct,10,Rajasthan,Harvesting,kharif,soya bean,Soybean
Jun,6,Karnataka,Sowing,kharif,soya bean,Soybean
Jul,7,Karnataka,Sowing,kharif,soya bean,Soybean
Sep,9,Karnataka,Harvesting,kharif,soya bean,Soybean
Oct,10,Karnataka,Harvesting,kharif,soya bean,Soybean
Jun,6,Andhra Pradesh,Sowing,kharif,soya bean,Soybean
Jul,7,Andhra Pradesh,Sowing,kharif,soya bean,Soybean
Sep,9,Andhra Pradesh,Harvesting,kharif,soya bean,Soybean
Oct,10,Andhra Pradesh,Harvesting,kharif,soya bean,Soybean
Jun,6,Chhattisgarh,Sowing,kharif,soya bean,Soybean
Jul,7,Chhattisgarh,Sowing,kharif,soya bean,Soybean
Sep,9,Chhattisgarh,Harvesting,kharif,soya bean,Soybean
Oct,10,Chhattisgarh,Harvesting,kharif,soya bean,Soybean
Jun,6,Uttar Pradesh,Sowing,kharif,soya bean,Soybean
Jul,7,Uttar Pradesh,Sowing,kharif,soya bean,Soybean
Sep,9,Uttar Pradesh,Harvesting,kharif,soya bean,Soybean
Oct,10,Uttar Pradesh,Harvesting,kharif,soya bean,Soybean
Jun,6,Manipur,Sowing,kharif,soya bean,Soybean
Jul,7,Manipur,Sowing,kharif,soya bean,Soybean
Sep,9,Manipur,Harvesting,kharif,soya bean,Soybean
Oct,10,Manipur,Harvesting,kharif,soya bean,Soybean
Jun,6,Meghalaya,Sowing,kharif,soya bean,Soybean
Jul,7,Meghalaya,Sowing,kharif,soya bean,Soybean
Sep,9,Meghalaya,Harvesting,kharif,soya bean,Soybean
Oct,10,Meghalaya,Harvesting,kharif,soya bean,Soybean
Jun,6,West Bengal,Sowing,kharif,soya bean,Soybean
Jul,7,West Bengal,Sowing,kharif,soya bean,Soybean
Jun,6,Madhya Pradesh,Sowing,kharif,niger,Niger
Jul,7,Madhya Pradesh,Sowing,kharif,niger,Niger
Oct,10,Madhya Pradesh,Harvesting,kharif,niger,Niger
Nov,11,Madhya Pradesh,Harvesting,kharif,niger,Niger
Jun,6,Maharashtra,Sowing,kharif,niger,Niger
Jul,7,Maharashtra,Sowing,kharif,niger,Niger
Oct,10,Maharashtra,Harvesting,kharif,niger,Niger
Nov,11,Maharashtra,Harvesting,kharif,niger,Niger
Jun,6,Karnataka,Sowing,kharif,niger,Niger
Jul,7,Karnataka,Sowing,kharif,niger,Niger
Oct,10,Karnataka,Harvesting,kharif,niger,Niger
Nov,11,Karnataka,Harvesting,kharif,niger,Niger
Jun,6,Andhra Pradesh,Sowing,kharif,niger,Niger
Jul,7,Andhra Pradesh,Sowing,kharif,niger,Niger
Oct,10,Andhra Pradesh,Harvesting,kharif,niger,Niger
Nov,11,Andhra Pradesh,Harvesting,kharif,niger,Niger
Sep,9,West Bengal,Harvesting,kharif,niger,Niger
Oct,10,West Bengal,Harvesting,kharif,niger,Niger
Jun,6,Odisha,Sowing,kharif,niger,Niger
Jul,7,Odisha,Sowing,kharif,niger,Niger
Oct,10,Odisha,Harvesting,kharif,niger,Niger
Nov,11,Odisha,Harvesting,kharif,niger,Niger
Jun,6,Bihar,Sowing,kharif,niger,Niger
Jun,6,Jharkhand,Sowing,kharif,niger,Niger
Jul,7,Bihar,Sowing,kharif,niger,Niger
Jul,7,Jharkhand,Sowing,kharif,niger,Niger
Oct,10,Bihar,Harvesting,kharif,niger,Niger
Oct,10,Jharkhand,Harvesting,kharif,niger,Niger
Nov,11,Bihar,Harvesting,kharif,niger,Niger
Nov,11,Jharkhand,Harvesting,kharif,niger,Niger
Jun,6,Gujarat,Sowing,kharif,niger,Niger
Jul,7,Gujarat,Sowing,kharif,niger,Niger
Oct,10,Gujarat,Harvesting,kharif,niger,Niger
Nov,11,Gujarat,Harvesting,kharif,niger,Niger
Aug,8,Madhya Pradesh,Sowing,late kharif,niger,Niger
Sep,9,Madhya Pradesh,Sowing,late kharif,niger,Niger
Nov,11,Madhya Pradesh,Harvesting,late kharif,niger,Niger
Dec,12,Madhya Pradesh,Harvesting,late kharif,niger,Niger
Aug,8,Maharashtra,Sowing,late kharif,niger,Niger
Sep,9,Maharashtra,Sowing,late kharif,niger,Niger
Nov,11,Maharashtra,Harvesting,late kharif,niger,Niger
Dec,12,Maharashtra,Harvesting,late kharif,niger,Niger
Aug,8,Karnataka,Sowing,late kharif,niger,Niger
Sep,9,Karnataka,Sowing,late kharif,niger,Niger
Nov,11,Karnataka,Harvesting,late kharif,niger,Niger
Dec,12,Karnataka,Harvesting,late kharif,niger,Niger
Aug,8,Andhra Pradesh,Sowing,late kharif,niger,Niger
Sep,9,Andhra Pradesh,Sowing,late kharif,niger,Niger
Nov,11,Andhra Pradesh,Harvesting,late kharif,niger,Niger
Dec,12,Andhra Pradesh,Harvesting,late kharif,niger,Niger
Aug,8,Odisha,Sowing,late kharif,niger,Niger
Sep,9,Odisha,Sowing,late kharif,niger,Niger
Nov,11,Odisha,Harvesting,late kharif,niger,Niger
Dec,12,Odisha,Harvesting,late kharif,niger,Niger
Aug,8,Bihar,Sowing,late kharif,niger,Niger
Aug,8,Jharkhand,Sowing,late kharif,niger,Niger
Sep,9,Bihar,Sowing,late kharif,niger,Niger
Sep,9,Jharkhand,Sowing,late kharif,niger,Niger
Nov,11,Bihar,Harvesting,late kharif,niger,Niger
Nov,11,Jharkhand,Harvesting,late kharif,niger,Niger
Dec,12,Bihar,Harvesting,late kharif,niger,Niger
Dec,12,Jharkhand,Harvesting,late kharif,niger,Niger
Aug,8,Gujarat,Sowing,late kharif,niger,Niger
Sep,9,Gujarat,Sowing,late kharif,niger,Niger
Nov,11,Gujarat,Harvesting,late kharif,niger,Niger
Dec,12,Gujarat,Harvesting,late kharif,niger,Niger
Oct,10,Gujarat,Sowing,rabi,gram,Gram
Nov,11,Gujarat,Sowing,rabi,gram,Gram
Feb,2,Gujarat,Harvesting,rabi,gram,Gram
Mar,3,Gujarat,Harvesting,rabi,gram,Gram
Oct,10,Haryana,Sowing,rabi,gram,Gram
Mar,3,Haryana,Harvesting,rabi,gram,Gram
Oct,10,Karnataka,Sowing,rabi,gram,Gram
Nov,11,Karnataka,Sowing,rabi,gram,Gram
Jan,1,Karnataka,Harvesting,rabi,gram,Gram
Feb,2,Karnataka,Harvesting,rabi,gram,Gram
Mar,3,Karnataka,Harvesting,rabi,gram,Gram
Oct,10,Madhya Pradesh,Sowing,rabi,gram,Gram
Nov,11,Madhya Pradesh,Sowing,rabi,gram,Gram
Dec,12,Madhya Pradesh,Sowing,rabi,gram,Gram
Feb,2,Madhya Pradesh,Harvesting,rabi,gram,Gram
Mar,3,Madhya Pradesh,Harvesting,rabi,gram,Gram
Apr,4,Madhya Pradesh,Harvesting,rabi,gram,Gram
Sep,9,Maharashtra,Sowing,rabi,gram,Gram
Oct,10,Maharashtra,Sowing,rabi,gram,Gram
Feb,2,Maharashtra,Harvesting,rabi,gram,Gram
Mar,3,Maharashtra,Harvesting,rabi,gram,Gram
Sep,9,Manipur,Sowing,rabi,gram,Gram
Oct,10,Manipur,Sowing,rabi,gram,Gram
Mar,3,Manipur,Harvesting,rabi,gram,Gram
Apr,4,Manipur,Harvesting,rabi,gram,Gram
Sep,9,Meghalaya,Sowing,rabi,gram,Gram
Oct,10,Meghalaya,Sowing,rabi,gram,Gram
Dec,12,Meghalaya,Harvesting,rabi,gram,Gram
Jan,1,Meghalaya,Harvesting,rabi,gram,Gram
Oct,10,Uttar Pradesh,Sowing,rabi,gram,Gram
Nov,11,Uttar Pradesh,Sowing,rabi,gram,Gram
Mar,3,Uttar Pradesh,Harvesting,rabi,gram,Gram
Apr,4,Uttar Pradesh,Harvesting,rabi,gram,Gram
Nov,11,West Bengal,Sowing,rabi,gram,Gram
Dec,12,West Bengal,Sowing,rabi,gram,Gram
Mar,3,West Bengal,Harvesting,rabi,gram,Gram
Sep,9,Madhya Pradesh,Sowing,rabi,masur,Masur
Oct,10,Madhya Pradesh,Sowing,rabi,masur,Masur
Nov,11,Madhya Pradesh,Sowing,rabi,masur,Masur
Feb,2,Madhya Pradesh,Harvesting,rabi,masur,Masur
Mar,3,Madhya Pradesh,Harvesting,rabi,masur,Masur
Apr,4,Madhya Pradesh,Harvesting,rabi,masur,Masur
Oct,10,Uttar Pradesh,Sowing,rabi,masur,Masur
Nov,11,Uttar Pradesh,Sowing,rabi,masur,Masur
Mar,3,Uttar Pradesh,Harvesting,rabi,masur,Masur
Jun,6,Bihar,Sowing,kharif,pulses/lentil,Lentil
Jul,7,Bihar,Sowing,kharif,pulses/lentil,Lentil
Nov,11,Bihar,Harvesting,kharif,pulses/lentil,Lentil
Dec,12,Bihar,Harvesting,kharif,pulses/lentil,Lentil
Aug,8,Goa,Sowing,kharif,pulses/lentil,Lentil
Sep,9,Goa,Sowing,kharif,pulses/lentil,Lentil
Nov,11,Goa,Harvesting,kharif,pulses/lentil,Lentil
Dec,12,Goa,Harvesting,kharif,pulses/lentil,Lentil
Sep,9,Meghalaya,Sowing,kharif,pulses/lentil,Lentil
Oct,10,Meghalaya,Sowing,kharif,pulses/lentil,Lentil
Feb,2,Meghalaya,Harvesting,kharif,pulses/lentil,Lentil
Mar,3,Meghalaya,Harvesting,kharif,pulses/lentil,Lentil
Jun,6,Punjab,Sowing,kharif,pulses/lentil,Lentil
Jul,7,Punjab,Sowing,kharif,pulses/lentil,Lentil
Nov,11,West Bengal,Sowing,kharif,pulses/lentil,Lentil
Feb,2,West Bengal,Harvesting,kharif,pulses/lentil,Lentil
Mar,3,West Bengal,Harvesting,kharif,pulses/lentil,Lentil
Oct,10,Assam,Sowing,rabi,pulses/lentil,Lentil
Nov,11,Assam,Sowing,rabi,pulses/lentil,Lentil
Mar,3,Assam,Harvesting,rabi,pulses/lentil,Lentil
Apr,4,Assam,Harvesting,rabi,pulses/lentil,Lentil
Oct,10,Bihar,Sowing,rabi,pulses/lentil,Lentil
Nov,11,Bihar,Sowing,rabi,pulses/lentil,Lentil
Mar,3,Bihar,Harvesting,rabi,pulses/lentil,Lentil
Apr,4,Bihar,Harvesting,rabi,pulses/lentil,Lentil
Oct,10,Chhattisgarh,Harvesting,rabi,pulses/lentil,Lentil
Nov,11,Chhattisgarh,Harvesting,rabi,pulses/lentil,Lentil
Mar,3,Chhattisgarh,Harvesting,rabi,pulses/lentil,Lentil
Apr,4,Chhattisgarh,Harvesting,rabi,pulses/lentil,Lentil
Dec,12,Goa,Sowing,rabi,pulses/lentil,Lentil
Jan,1,Goa,Sowing,rabi,pulses/lentil,Lentil
Mar,3,Goa,Harvesting,rabi,pulses/lentil,Lentil
Apr,4,Goa,Harvesting,rabi,pulses/lentil,Lentil
May,5,Goa,Harvesting,rabi,pulses/lentil,Lentil
Oct,10,Jharkhand,Sowing,rabi,pulses/lentil,Lentil
Nov,11,Jharkhand,Sowing,rabi,pulses/lentil,Lentil
Mar,3,Jharkhand,Harvesting,rabi,pulses/lentil,Lentil
Apr,4,Jharkhand,Harvesting,rabi,pulses/lentil,Lentil
Oct,10,Rajasthan,Sowing,rabi,pulses/lentil,Lentil
Nov,11,Rajasthan,Sowing,rabi,pulses/lentil,Lentil
Mar,3,Rajasthan,Harvesting,rabi,pulses/lentil,Lentil
Apr,4,Rajasthan,Harvesting,rabi,pulses/lentil,Lentil
Oct,10,Tripura,Sowing,rabi,pulses/lentil,Lentil
Nov,11,Tripura,Sowing,rabi,pulses/lentil,Lentil
Mar,3,Tripura,Harvesting,rabi,pulses/lentil,Lentil
Apr,4,Tripura,Harvesting,rabi,pulses/lentil,Lentil
Oct,10,Gujarat,Sowing,rabi,pulses/lentil,Lentil
Nov,11,Gujarat,Sowing,rabi,pulses/lentil,Lentil
Mar,3,Gujarat,Harvesting,rabi,pulses/lentil,Lentil
Apr,4,Gujarat,Harvesting,rabi,pulses/lentil,Lentil
Oct,10,Haryana,Sowing,rabi,pulses/lentil,Lentil
Nov,11,Haryana,Sowing,rabi,pulses/lentil,Lentil
Mar,3,Haryana,Harvesting,rabi,pulses/lentil,Lentil
Apr,4,Haryana,Harvesting,rabi,pulses/lentil,Lentil
Oct,10,Madhya Pradesh,Sowing,rabi,pulses/lentil,Lentil
Nov,11,Madhya Pradesh,Sowing,rabi,pulses/lentil,Lentil
Mar,3,Madhya Pradesh,Harvesting,rabi,pulses/lentil,Lentil
Apr,4,Madhya Pradesh,Harvesting,rabi,pulses/lentil,Lentil
Oct,10,Punjab,Sowing,rabi,pulses/lentil,Lentil
Nov,11,Punjab,Sowing,rabi,pulses/lentil,Lentil
Mar,3,Punjab,Harvesting,rabi,pulses/lentil,Lentil
Apr,4,Punjab,Harvesting,rabi,pulses/lentil,Lentil
Oct,10,Uttar Pradesh,Sowing,rabi,pulses/lentil,Lentil
Nov,11,Uttar Pradesh,Sowing,rabi,pulses/lentil,Lentil
Mar,3,Uttar Pradesh,Harvesting,rabi,pulses/lentil,Lentil
Apr,4,Uttar Pradesh,Harvesting,rabi,pulses/lentil,Lentil
Oct,10,West Bengal,Sowing,rabi,pulses/lentil,Lentil
Nov,11,West Bengal,Sowing,rabi,pulses/lentil,Lentil
Mar,3,West Bengal,Harvesting,rabi,pulses/lentil,Lentil
Apr,4,West Bengal,Harvesting,rabi,pulses/lentil,Lentil
Oct,10,Assam,Sowing,rabi,pea,Pea
Nov,11,Assam,Sowing,rabi,pea,Pea
Mar,3,Assam,Harvesting,rabi,pea,Pea
Apr,4,Assam,Harvesting,rabi,pea,Pea
Oct,10,Bihar,Sowing,rabi,pea,Pea
Nov,11,Bihar,Sowing,rabi,pea,Pea
Mar,3,Bihar,Harvesting,rabi,pea,Pea
Apr,4,Bihar,Harvesting,rabi,pea,Pea
Oct,10,Chhattisgarh,Harvesting,rabi,pea,Pea
Nov,11,Chhattisgarh,Harvesting,rabi,pea,Pea
Mar,3,Chhattisgarh,Harvesting,rabi,pea,Pea
Apr,4,Chhattisgarh,Harvesting,rabi,pea,Pea
Oct,10,Jharkhand,Sowing,rabi,pea,Pea
Nov,11,Jharkhand,Sowing,rabi,pea,Pea
Mar,3,Jharkhand,Harvesting,rabi,pea,Pea
Apr,4,Jharkhand,Harvesting,rabi,pea,Pea
Oct,10,Rajasthan,Sowing,rabi,pea,Pea
Nov,11,Rajasthan,Sowing,rabi,pea,Pea
Mar,3,Rajasthan,Harvesting,rabi,pea,Pea
Apr,4,Rajasthan,Harvesting,rabi,pea,Pea
Oct,10,Tripura,Sowing,rabi,pea,Pea
Nov,11,Tripura,Sowing,rabi,pea,Pea
Mar,3,Tripura,Harvesting,rabi,pea,Pea
Apr,4,Tripura,Harvesting,rabi,pea,Pea
Oct,10,Gujarat,Sowing,rabi,pea,Pea
Nov,11,Gujarat,Sowing,rabi,pea,Pea
Mar,3,Gujarat,Harvesting,rabi,pea,Pea
Apr,4,Gujarat,Harvesting,rabi,pea,Pea
Oct,10,Haryana,Sowing,rabi,pea,Pea
Nov,11,Haryana,Sowing,rabi,pea,Pea
Mar,3,Haryana,Harvesting,rabi,pea,Pea
Apr,4,Haryana,Harvesting,rabi,pea,Pea
Oct,10,Madhya Pradesh,Sowing,rabi,pea,Pea
